text,label,source
Masyarakat asli Papua sangat resah akibat ulah KSTP. Bersatu Lawan Covid-19 https://t.co/Rcx6oj9zuf,negative,malaya
Kadar kebolehpasaran graduan di negara ini pula adalah sebanyak 79.1%,positive,malaya
@YERIMxOL Capek jempol gak Nav??,neutral,malaya
Turut dalam perancangan adalah menambah baik perkhidmatan bekalan air bersih melalui beberapa pendekatan yang sedang dirancang.,positive,malaya
"Jangan undi dacing, jangan undi bulan.",negative,malaya
Usaha ini secara tidak langsung mengurangkan kebergantungan kepada pihak polis terutama dalam keadaan hanya untuk mencegah jenayah daripada berlaku,positive,malaya
WAKIL Presiden Ma'ruf Amin menegaskan bahwa situasi politik dan keamanan di Papua tidak boleh mengganggu pembanguna https://t.co/68XimflJHV,negative,malaya
"Siapa berhasrat mahu jadi calon, mesti ada kredibiliti dan sokongan padu rakyat, tidak kira dia penyandang atau tidak",positive,malaya
@born2_ride_rbl @ReezwanMohd @iwanqais Aik?? Dah kerajaan negeri yng decided tapi federal yang salah? Benak sangat otak kau ni,negative,malaya
Geng2 Umno pun dah mula bash PN. Ni Neflix ka TGV ni? Harap geng ph tak terjebat dengan lakonan drama pukul 7 ni. Y https://t.co/Gi0XqLnpfv,negative,malaya
"Maknanya jelas, tak payahlah saya cakap panjang sebab orang Langkawi pun faham, orang India Langkawi pun faham bahawa hanya BN sahaja yang kita boleh letakkan harapan kita.",positive,malaya
Sebenarnya ia tidak benar sama sekali,positive,malaya
haih apa dia la teringat cerita lama tetiba,negative,malaya
"Pengguna yang tak bawa bayar 20 sen tapi yang bawa beg sendiri, mereka ini juga perlu diberi ganjaran",positive,malaya
Justeru saya putuskan untuk kekal di sini dan mendepani cabaran,positive,malaya
perancangan baik tidak pernah melupakan perkhidmatan awam dan rakyat bagi menjamin masa depan negara terus dijulang.,positive,malaya
Adalah malang Mohamed Azmin tidak ambil peluang ini untuk membuktikan komitmen anti-rasuah Harapan di negeri itu,negative,malaya
@mosyukiborhan tahniah syuk!,positive,malaya
apa lah yang korang tak puas hati dengan aku ha? benda tak betul semua korang tuju kat aku padahal aku sendiri takt https://t.co/gAZPZbw9MH,negative,malaya
"Hal ini bermakna pemilihan Umno akan ditangguhkan melebihi tempoh 18 bulan, keputusan penangguhan ini kononnya telah mendapat kelulusan ROS.",negative,malaya
"Sory to say, hampir semua Agensi Kerajaan Negeri mcm ni.. tak caya boleh riki2 negeri2 lain..semacam ada kuota utk https://t.co/Zj5OirxLKM",negative,malaya
Maaf.. Anda percaya Allah itu wujud? Kenapa tiada Org Umno dlm twitter Gue? @MuhyiddinYassin @AzminAli @NajibRazak https://t.co/cM7AJPoD1b,negative,malaya
"Dalam hal ini, SPR telah mendapat jaminan daripada pihak Pos Malaysia berkaitan aspek keselamatan dan kerahsiaan dengan semua pengendalian penghantaran diklasifikasikan sebagaimana prosedur pos berdaftar menggunakan rangkaian Pos Laju",positive,malaya
@aiman_gbeast Teresak2 dah,negative,malaya
@hnismn @aienunzanuddin padia nih geng.aku ada terlepas train ka?,neutral,malaya
@muizbadrul1903 @Irham_HakimiMH Pahang pulak. Dah yang ramai ramai hentam kasa tuh? Beruk?,negative,malaya
"Kritik keras Komnas HAM, Hendardi minta pegawai KPK hentikan manuver politik TWK KPK Profesional #MAsahkanTWKdiKPK https://t.co/W6dtAAVbd8",positive,malaya
@vafnte @collegemenfess penelitian panda,neutral,malaya
“Tempoh hutang itu diselesaikan bergantung kepada projek-projek yang dilaksanakan sekarang untuk mewujudkan sumber kewangan sebab kita dah lakukan kesilapan. ,negative,malaya
"Menurut laporan itu, tindakan berkenaan, selain bercanggah dengan langkah-langkah penjimatan kerajaan, juga tidak mematuhi pekeliling Jabatan Perkhidmatan Awam",negative,malaya
"Justeru, kita berharap lebih banyak pusat rawatan seperti ini diwujudkan untuk membantu.",positive,malaya
Kita bukannya tiada ajaran Islam yang baik,positive,malaya
Assalamualaikum... Maaf.. PKR @KEADILAN anak beranak &amp; @dapmalaysia @anwaribrahim @n_izzah @drwanazizah @501Awani https://t.co/IIiJUMfxPp,negative,malaya
Saya benci dia ketika itu,negative,malaya
"Perhimpunan ini akan menjadi platform semua badan pensijilan halal berkongsi pengalaman dan perkembangan terkini industri halal bukan berkaitan makanan semata-mata, tetapi sudah berkembang kepada barang gunaan seperti kosmetik dan farmaseutikal",positive,malaya
"Sebagai kerajaan, kita beriltizam untuk pastikan keadaan ini akan berterusan",positive,malaya
Aku boleh berpura-pura tersenyum Tapi aku tak reti nk berpura-pura bahagia,negative,malaya
Habiskan first dose dulu boleh? Org kampung aku dh kabor kalau lama sangat dieorg malas dh,negative,malaya
Kami sasarkan untuk bertanding 21 kerusi dengan jangkaan akan menang 19 kerusi negeri,positive,malaya
Respons saya ialah pergi berambus.,negative,malaya
@teamkulitayam Sama itu biasa berbeda baru luar biasa;(,negative,malaya
Buku Lawas&gt; Perlawanan Terhadap Penjajahan Dan Perjuangan Menegakkan Kemerdekaan Indonesia di Bumi Bengkulu. Oleh https://t.co/xlrBpZPtS9,neutral,malaya
berkata tiada sebarang insiden kekerasan dan tidak diingini berlaku yang memerlukan campur tangan Polis Diraja Malaysia (PDRM) yang bertindak mengawal keselamatan di sekitar kawasan penamaan calon.,positive,malaya
"so today , aku dan abah membuat keputusan masak nasi butter dan ayam goreng",neutral,malaya
Hal ini amat tidak masuk akal.,negative,malaya
@bangtantaemune Hai ifa!! Semoga kita semua murah rezeki! I ada jual scones. Boleh check out shopee I juga yer. W https://t.co/1WmwLa6S5S,positive,malaya
Dia pun tak kacau sama mereka,positive,malaya
Kami perlu mencakupi pembangunan di peringkat negeri dan masa depan Sabah,positive,malaya
"SPR terima notis tamat tempoh DUN Sarawak, pilihan raya ditangguh di bawah Seksyen 13 Ordinan Darurat (Kuasa-kuasa Perlu) 2021 - Setiausaha SPR @sprgovmy https://t.co/lh6PaIlew8",neutral,malaya
Pihak pembangkang sentiasa memusatkan matlamat dan agenda mereka untuk menjatuhkan kerajaan sedia ada.,negative,malaya
"Oleh itu, kita tak mau ada orang bawa amalan politik benci sama sendiri, berdendam, bersangka buruk, tiada hala tuju dan celaru dalam masyarakat yang akhirnya berlaku perpecahan sesama kita dan permusuhan",positive,malaya
@m99cat kaya batu bata,neutral,malaya
Pilihan raya bukan sahaja mengenai parti politik tetapi memilih individu yang dapat menjaga kawasan dengan baik,positive,malaya
media sosial telah dituduh menggalakkan aktiviti membuli memburukkan lagi kebimbangan imej badan punca masalah tidur serta perasaan seperti keresahan kemurungan dan kesunyian,negative,malaya
"Boto tu kak. Sey setuju! Cumo tu lah. Kerajaan sekarang ni, bukan kerajaan hasil daripada undi rakyat. Ingat dorang https://t.co/txBKSjJNdO",negative,malaya
"Kuasa beliau hanyalah sebagai penasihat, dan oleh sebab kedudukannya dalam lembaga itu, pembangkang mendakwa beliau bertanggungjawab",negative,malaya
"Selain itu, perbincangan dengan pengeluar, pengimport, pembekal dan pemborong turut diadakan",positive,malaya
Ambil sahaja tindakan tarik balik sijil halal di hotel-hotel ini,positive,malaya
Ini kerana kerajaan yang ada pada hari ini menghargai masyarakat luar bandar,positive,malaya
@_pykachew Rupa tak menjamin kebahagiaan,negative,malaya
Kenapa dihapus bas?,neutral,malaya
"@syahiranalias Tp kilang dia mmg kilang essential,buat air kan. tp dari segi sop tktau lah jauh mana dilanggarnya",neutral,malaya
"satu parcel dah smpai, excited dia lain macam",positive,malaya
"Atas kejayaan ini, saya ucap tahniah kepada kepimpinan Tan Sri Abdul Wahid Omar dan Datuk Abdul Rahman Ahmad",positive,malaya
"Pasukan Khas Covid-19 Selangor patut bubar, banyak main politik - Agenda Daily https://t.co/DNuHd3kOw2",negative,malaya
@iwanqais dari Hang Tuah ke Feri Pulau Pinang...kera jaan BN &amp; PN tak pernah jaga warisan negeri...ubah sejarah sesuka hati !!!...#KerajaanGagal,negative,malaya
@ratnapujangga @sitiawe_ Baru jer beli yg ni,neutral,malaya
"Ini semua membebankan rakyat, oleh itu kerajaan membincangkan semula konsesi-konsesi yang ditandatangani",positive,malaya
jadi tak timbul isu Amanah bersungguh-sungguh menjatuhkan kerajaan Pas di Kelantan.,positive,malaya
Nak tapi salon tada buka lagi ini lockdown,neutral,malaya
dan mainan persepsi politik ini dilihat bijak dimainkan oleh tun dr,negative,malaya
"Tatkala pihak polis sibuk menjaga aspek keselamatan, saya berharap semua majikan dan pihak berkuasa terlibat juga akan mengambil langkah sewajarnya untuk memastikan keselamatan kakitangan mereka yang bertugas sepanjang PRU-14 terjamin.",negative,malaya
Paparan secara langsung itu membolehkan sesi persidangan berkenaan ditonton masyarakat di seluruh dunia,positive,malaya
Tak rancak kecam sebab dap maa kah3. Sampah lu punya rebel2.,negative,malaya
"@JapenKelantan terus menyampaikan maklumat berkaitan vaksin, PKP, pematuhan SOP kpd semua masyarakat walau di mana sahaja anda berada. Info On Wheels 8/6/2021 Parlimen : Kuala Krai Dun : Guchil/Mengkebang Hebahan / Pemantauan #bergheh https://t.co/UTm71AXF05",positive,malaya
Saya setia bersama rakyat Jasin dan terus berkhidmat selagi diperlukan dalam memastikan keperluan mereka direalisasikan,positive,malaya
"@khalids Lol... biasa le, gegak gempita PH memang bagus.",positive,malaya
"BENDERA PUTIH OF RAKYAT, BY RAKYAT, FOR RAKYAT! Menteri PN/MN/BN boleh berdiri berdoa 24 jam untuk membantu rakyat https://t.co/H8gscepB0f",negative,malaya
Mane ye lori aiskrim nestle sy.. order dah lama ni,neutral,malaya
Keluar bungkus makanan. https://t.co/W9l2euCfpB,neutral,malaya
"+ pendengarannya saat ini. Menunggu jawaban dari Hwan haruslah bersabar, jika tidak semuanya akan gagal. ""Hyung... https://t.co/Zl7Ph8x4M0",positive,malaya
"Belum mendapat kuasa, sudah menunjukkan sikap kuku besi",negative,malaya
Bodoh gile jadi balaci ahli politik,negative,malaya
"Bill umobile sampai 17/5 ritu tapi lupa nak bayaq, harini baru teringat. Ni kalau lagi seminggu tak bayaq jenoh la https://t.co/maooolSyeS",negative,malaya
"Kalau org kau tak kenal bukan main, kalau orang yg kau dah kenal ? Pi butohhh ! kecikkan cirlce anda. Ianya berbaloi.",negative,malaya
Jika parlimen tidak dipanggil dalam masa 14 hari maka UMNO akan keluar menjadi pembangkang iaitu lebih kurang 4 Jul https://t.co/AvJSf1F8ux,negative,malaya
"Tidak kira Parlimen atau DUN, paling mustahak bukan kerusi kami rebutkan, tetapi solidariti daripada kami dan seluruh pengundi juga jentera parti",positive,malaya
@datukhensem Aritu ada nampak sukarelawan perubatan dekat Shah Alam dengan dekat The Mines. Ada kena isi google for https://t.co/pyF2Zqg9bv,neutral,malaya
"Kita tak pernah akan sekat kebebasan rakyat, yang banyak sekat kebebasan rakyat ini adalah zaman Tun Dr Mahathir  Mohamad…beliau wujudkan pelbagai akta termasuk ISA",positive,malaya
disembur cat dan dikoyakkan sebagai protes kepada Suruhanjaya Pilihan Raya,negative,malaya
"menggesa orang ramai membuat aduan berkaitan PRU14 jika mereka mendapati wujud amalan seperti politik wang serta pembiayaan, pemberian dan dorongan memberi imbuhan kerana perkara itu tidak sepatutnya berlaku dalam pilihan raya di Malaysia.",negative,malaya
Pagi ini merupakan hari keputusan kes rayuan saman sivil oleh keluarga Kamarulnizam &amp; Kerajaan Malaysia serta PDRM. Kamarulnizam mati dlm Penjara Tapah pd tahun 2014 selepas beberapa hari dimasukkan ke dlm penjara. Peguam diketuai M. Visvanathan dibantu V.Sanjay Nathan &amp; R.Karnan https://t.co/NSb0dzEetg,negative,malaya
Semoga semua tabah dan mengikuti panduan pihak berkuasa,positive,malaya
walaupun kenaikan peratus bunyinya banyak keadaan sebenar tidaklah sehebat mana,negative,malaya
jika diperhatikan persepsi yang dilaung-laungkan cybertrooper itu menjadi tarikan kepada penyokong di kedua-dua belah pihak untuk mempercayainya namun jika diteliti ia hanyalah sebagai tindakan untuk melemahkan pihak lawan dan lebih buruk lagi ia menjadi jenayah sehingga menghukum mereka yang tidak bersalah,positive,malaya
"Kami bersedia untuk berkongsi pengalaman dan pengetahuan dalam pembangunan ekonomi dan sosial dengan negara membangun lain, seperti melalui rangka Program Kerjasama Teknikal Malaysia (MTCP), yang telah menunjukkan kesediaan Malaysia berkongsi pengalaman pembangunannya dengan negara-negara Selatan-Selatan .",positive,malaya
Dah lama tak makan burger ramli yang ada bawang sekali. Sobs.,negative,malaya
Kalau berlaku banjir pun tak nampak bayang mereka,negative,malaya
@HanysJehari @intnshn Dia rasa dia terpaling hebat tu...tu yang galak sangat bila kena kat Kelantan.,negative,malaya
Ini meletakkan ringgit pada kedudukan yang baik menjelang mesyuarat Jawatankuasa Dasar Monetari Bank Negara Malaysia,positive,malaya
kami akan terus menjalankan tugas kami secara profesional,positive,malaya
"Selangor terus kekal mencatatkan kes baharu tertinggi dengan 2,291 kes. #AWANInews #AWANI745 #HapusCOVID19 https://t.co/KOsGK2Bums",neutral,malaya
Kami sentiasa menyokong usaha memperkasa keusahawanan di kalangan usahawan wanita.,positive,malaya
Sebelum CMC beroperasi sepenuhnya kita sudah memantau melalui sistem sedia ada dan kita perkuatkan apabila CMC beroperasi,positive,malaya
"Ia adalah usaha yang menguntungkan, dan kemudian sudah tentu kerajaan memutuskan untuk ‘bermain-main’ dengannya",positive,malaya
Talkin untuk Umno....,negative,malaya
"@halduniawiii Sapiens yuval noah ke ? Berbaloi jugak tu. Beli je, baca nanti boleh. Haha.",positive,malaya
pemerhati politik kapten abdul rahmat tun haniff berkata perkara itu tidak memeranjatkan dan lumrah setiap kali pru yang mana kali ini cybertrooper pembangkang akan mula mengitar semula dakwaan bagi meraih simpati pengundi dan mencipta stigma bahawa pru akan menjadi paling teruk dalam sejarah,negative,malaya
"@TT010816000 @B_AG11 @narkosun Politisi itu memang aneh, politik memang persepsi, tp saya tidak dapat memahami gera https://t.co/zYSNBt7MOG",negative,malaya
UMNO Ular Tiada di Sarawak,negative,malaya
"Saya memperoleh sumber bagi penulisan itu dengan banyak membaca setiap hari selain merujuk kepada akhbar, blog dan laman Facebook.",positive,malaya
Secara kebetulan sekarang ini makin dekat dengan PRU tetapi jangan kerana sebab ini semua pihak nilai segala bantuan atau sumbangan kerajaan kini sebagai ‘gula-gula'.,positive,malaya
"Antaranya bagi membaik pulih lif, pendawaian semula elektrik, mengecat semula bangunan, ganti bumbung, pasang pagar, ganti tangki air dan selenggara paip sanitari,",positive,malaya
"Kat sandakan, siap buat google form untuk gather info",neutral,malaya
Kehadiran lori balak yang keluar masuk sepanjang masa termasuk pada waktu sesi persekolahan bermula dan tamat membuatkan ibu bapa di sini risau akan keselamatan anak-anak mereka,negative,malaya
Kita sudah lengkapkan siasatan dan tindakan lanjut kita serahkan pada peguam negara,positive,malaya
"Kita tak lihat ia adalah satu sumbangan jitu untuk bangunkan Pulau Langkawi memandangkan semasa zaman pemerintahan Tun Mahathir, lebih banyak idea-idea bernas oleh beliau untuk majukan penduduk di sini tanpa perbelanjaan yang tinggi,",negative,malaya
"Khairy (Jamaluddin) dan ahli politik Barisan Nasional tidak patut menyembunyikan kepala mereka dalam pasir dan berpura-pura semuanya dalam keadaan baik, ketika anak muda kehilangan peluang mencapai aspirasi mereka dengan mendapat kerja lebih baik dan gaji sesuai",positive,malaya
Bodoh ke engkorang ni.babi ape la perangai orang politik ni.,negative,malaya
"Tempeh. Kalau orang Johor tak makan tempeh, tak tau lah. Apa tu tempeh? Kalau semua orang tau apa khasiat tempeh, alamatnya naik harga tempeh nanti. Hari ni aku cerita sikit pasal tempeh. #triviahanifmz https://t.co/e6W0cLGYIi",neutral,malaya
"Semua orang tahu, semua pemilik tanah yang membuat perjanjian dengan pemaju untuk membangunkan tanah mereka menjadi unit terbina",positive,malaya
Ringgit jatuh dan dolar Singapura kini 3 kali ganda berbanding ringgit Malaysia,negative,malaya
"Setakat ini kita dah luluskan, kita ada empat calon. ",positive,malaya
menteri kabinet beliau sendiri bercakap mengenai pembinaan hospital kerajaan sakit bekalan ubat di hospital kerajaan yang sering terputus dan pesakit yang dulu mampu berubat di klinik dan hospital swasta kini berpusu-pusu ke klinik dan hospital awam,negative,malaya
Teras kelima ialah kewajiban antarabangsa yang menyenaraikan komitmen Malaysia dalam instrumen-instrumen antarabangsa berkaitan hak asasi manusia,positive,malaya
@mahfuzah_mansor Sodap tu IBU nampak pedas berempah Nuqman boleh makan ke ? Apa nama msakan ?,neutral,malaya
Kami akan terus mencari keadilan,positive,malaya
Kahkahkah bersepah akaun may 2021 menyemak konon nak puji tindakan kerajaan. Babi punya cytro main taik la sial,negative,malaya
"@NatAsasi @fikriismail98 Jawapan saya sebelum ini Ahli politik pas jaja no Dap yg berfahaman komunis, Nah kini raky https://t.co/aRNhMFSP4l",negative,malaya
Usaha ini berkembang pantas kerana keutamaan ketika ini adalah keperluan bantuan dan perlindungan kemanusiaan untuk rakyat Yaman,positive,malaya
@1163Ahmadmat Ngapa abg ni buang semua telur2 tu? Marah pasai apa ni.,negative,malaya
IOW PKPD 2021 /VAKSIN COVID/ PEMBUDAYAAN NORMA BAHARU PEJABAT PENERANGAN DAERAH KUALA TERENGGANU Parlimen: P. 036 Kuala Terengganu DUN. : N. 14 Bandar Tarikh : 09.06.2021 (Rabu) Masa : 9.00 pg - 12.00 tengahari #MalaysiaPrihatin #japentrg #kitaAkanmenang #Covid19 https://t.co/IimN8gCqzM,neutral,malaya
"Kita sedar, orang muda kecewa dengan pembangkang yang hanya pandai berjanji tapi tidak mengotakannya",positive,malaya
Media dan penganalisis politik melihat bahawa dengan bersandarkan keputusan dua pilihan raya ini jelas menyumbang kepada kelangsungan politik Umno dan BN untuk kekal sebagai parti pemerintah,positive,malaya
Workout dulu sebelum brunch. Kalau rajin petang baru run. (Kalau rajin..Kalau tak buat lemak je la. Tambah lapisa https://t.co/5CNYbkVfAR,neutral,malaya
disebabkan rasa kecewa kerana tidak memperoleh sesuatu atau kehendak mereka ditolak.,negative,malaya
Syurga!,positive,malaya
"Kad itu untuk mereka yang lahir di China tetapi berhijrah ke Malaysia dan diberi kerakyatan Malaysia, jadi mereka boleh guna kad itu untuk pulang jika mahu",positive,malaya
Pemberian vaksin kepada rakyat Selangor sangat perlahan berbanding negeri lain. Kerajaan negeri Selangor sangat per https://t.co/2RqFkQhDHp,negative,malaya
"Sebagai rakyat, kita sepatutnya berbahagia dengan nikmat keamanan ini",positive,malaya
"Jadi jika mahu bermacam-macam bantuan, kenalah kekalkan sokongan kepada kerajaan hari ini",positive,malaya
Non stop pulak tu,neutral,malaya
Opps macam sik jadi jak 4 bulan di miri tok hmmmm,neutral,malaya
"Mari kita nyanyi sama-sama, kalau dia (polis) nak dakwa 2 kali pun dakwalah.",negative,malaya
Apsal Mayor Paris nak sibuk urusan politik Malaysia ni. Hello?,negative,malaya
Mahkamah Majistret Shah Alam benarkan 6 pegawai dan kakitangan sebuah bank direman tujuh hari bermula hari ini bagi membantu siasatan dakwaan meminta dan menerima rasuah daripada pemohon pinjaman peribadi pada 2018 hingga 2020. https://t.co/4792F1MevS,positive,malaya
menyediakan peruntukan bagi membaik pulih bangunan kuil serta membaik pulih dan menaik taraf Sekolah Jenis Kebangsaan Tamil,positive,malaya
Petrol 100 Diesel 90 Food Oil 200 LPG 900 Amugu Dumugu Amal Dumal #ModiVsYogi https://t.co/jHaB5pvO9a,neutral,malaya
"Belum kira ahli Pas keluar, ada juga ambil pendirian bertawakuf iaitu tak setuju tapi diam dan tidak pedulikan program, kategori ni ramai dalam Pas ",negative,malaya
"Ingatkan nak ke VG Tropicana Gardens, sekali bukak map ada roadblock lak. Terus uturn",neutral,malaya
"12 Julai 2021 - En Suhaimi Ahmad Ahli Majlis MBJB Zon Bandar merangkap Naib Ketua UMNO Bahagian Pulai bersama en Panir Selvam Ahli Majlis MBJB Zon Teluk Danga mengiringi Tuan Haji Miswan Setiausaha MBJB dalam lawatan kerja ke PPR Tmn Perling, https://t.co/NVU9sbU0Gc https://t.co/MP3kwnaQRD",neutral,malaya
Manifesto itu sudah siap cuma kita rasa perlu perkemaskan lagi dan saya percaya ia adalah untuk manfaat semua rakyat di Pahang,positive,malaya
"Sultan Kelantan, Sultan Muhammad V sekeluarga sudah lengkap 2 dos vaksin dan menyeru rakyat agar tidak ragu-ragu untuk divaksin. Sumber: FB Unit Media Pejabat Sultan Kelantan. https://t.co/ut8uVXuIrc",positive,malaya
"Ketika saya perdana menteri, Bank Negara beberapa kali berkembang secara fizikal",positive,malaya
"Ade ni beli barang dapur (@ Jaya Grocer in Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur) https://t.co/mugdTY7LGz",neutral,malaya
"tsunami fitnah, tsunami tohmah, tsunami membunuh perwatakan",negative,malaya
SALAM SEJAHTERA DAN SALAM KEMESRAAN PPWN Negeri Sembilan dengan sukacitanya ingin menjemput anda semua untuk bersa https://t.co/tDw2M5Aa3f,positive,malaya
"Orang mungkin melihat pemerkasaan wanita hanya dalam aspek tuntutan penglibatan 30 peratus golongan itu dalam membuat dasar tetapi bagi kementerian ini, skop itu perlu dilihat dalam konteks lebih luas",positive,malaya
"Orang Melayu tidak pernah lupa apa yang dinyatakan sebelum ini tentang perlembagaan, Institusi Diraja dan Islam itu sendiri",negative,malaya
Ini menunjukkan peniaga beretika dan memahami tentang tanggungjawab mereka terhadap negara,positive,malaya
Wahai kerajaan bodoh yang bukak laundry sik nyuroh melipat baju di sia gi mampus lah renyok uniform aku caken mena,negative,malaya
"Kita lihat media-media (ini) telah menimbulkan persepsi yang amat negatif, sebahagian daripada kita pun yang beruniform mempunyai prasangka yang begitu kerana apabila sesuatu berita diulang-ulang, pasti ia ke minda dan lekat di hati kita.",negative,malaya
"Sekarang, kita serah kepada polis untuk melakukan siasatan penuh berhubung perkara ini",positive,malaya
